EntrezID	GeneSymbol	RNAseq-EryP-Rep1	RNAseq-EryP-Rep2	RNAseq-EryP-Rep3	RNAseq-EryD-Rep1	RNAseq-EryD-Rep2	RNAseq-EryD-Rep3
76722	Ckmt2	0.326902392	0.262577947	0	0	0.236776323	0.103327367
76737	Creld2	3.823843324	3.777068769	4.00372696	3.892069206	4.030219191	4.006512185
76740	Efr3a	5.764023948	5.675384569	5.715461385	5.061551963	5.132006301	5.028115387
76742	Snx27	5.635225337	5.495570644	5.6414038	5.196897044	5.287229559	5.288702928
76743	Gje1	0.172690617	0.180250055	0.085620241	0	0.083318543	0.199746348
76747	Dapl1	0	0	0.085620241	0	0	0
76757	Trdn	0.398237264	0.262577947	0.38484472	0	0.083318543	0.801143797
76758	Gsdma2	0.088927651	0.092938249	0.085620241	0.330687802	0.162086862	0.290123112
76763	Mospd2	2.828553623	2.748987364	2.754357725	3.387813349	3.14530162	2.648838742
76768	Alpi	0	0.262577947	0	0	0.162086862	0.103327367
76770	2010005H15Rik	0	0	0	0.254847487	0.561319162	0.919132933
76773	Wdyhv1	3.68097199	3.825271298	3.859253043	3.698106773	3.541260791	3.481816108
76775	Slc10a7	3.490091663	3.541814737	3.555977755	4.006329318	4.141320409	3.931272259
76779	Cluap1	2.47967347	2.500243491	3.016618696	3.049205823	3.220842649	3.124628118
76781	Mettl4	4.017517629	3.93603745	4.179533152	4.164950467	4.096898983	4.0524266
767814	AU019990	0.172690617	0.414352757	0	0.254847487	0.083318543	0.375170495
767815	BB557941	0	0.092938249	0.085620241	0	0.162086862	0
76784	Mtif2	4.992586149	5.079134179	5.313434521	5.370889834	5.353762545	5.371246026
76785	2410124H12Rik	0	0	0.085620241	0	0.083318543	0
76787	Ppfia3	0.172690617	0.735869851	0.892207499	0.659585569	0.561319162	0.531557862
76788	Klhdc10	5.377249252	5.24525879	5.570780724	6.134086174	6.134669695	6.124200698
76789	Mzt1	5.372828742	5.282731644	5.059402692	6.223840757	6.192106539	6.157595506
76792	2410131K14Rik	1.825042067	1.8190652	2.165172114	0.975298534	0.72593705	1.028197734
76793	Snip1	4.778681856	4.790907125	4.997237633	4.899786286	5.117255198	5.024828827
76794	2410133F24Rik	1.772314191	1.949058838	1.883749572	1.519890471	1.34809532	1.755290363
76795	Tbc1d9b	4.478912099	4.558090281	4.50111569	4.663595631	4.863983353	4.705750889
76797	2410137M14Rik	0	0	0	0	0.307788639	0.290123112
76798	2410137F16Rik	0.172690617	0.262577947	0.315653629	0.090044751	0.083318543	0.290123112
76799	Tmem234	5.789122833	5.98674407	5.980074443	6.766533658	6.795786893	6.643464557
76800	Usp42	4.121302946	4.161983824	4.164854329	3.624681487	3.7014771	3.627603969
76803	2410141K09Rik	0.652797613	0.67704467	1.070794101	0.254847487	0.826094101	1.476100084
76804	Kdm4c	3.92392801	3.818483043	4.041715538	4.331114012	4.378344711	4.0524266
76808	Rpl18a	10.50237959	10.41960623	10.4782718	9.98629706	10.03040995	10.01020372
76809	Bri3bp	4.989702075	4.939080691	5.341988237	3.983015087	4.165420494	3.979604029
76813	Armc6	4.40290285	4.380518804	4.845957019	4.051857052	4.01968161	4.019780371
76814	2600006L11Rik	1.717585864	1.5831358	1.303022233	1.583277975	1.00768921	1.129593805
76815	Calcoco2	0	0	0.085620241	0.402739632	0.083318543	0.375170495
76816	Sdccag8	2.52818374	2.11336928	2.687464434	2.764746972	2.693677735	2.855361719
