wt_rep1	wt_rep2	wt_rep3	wt_rep4	KO_rep1	KO_rep2	KO_rep3	KO_rep4	gene
202	237	207	183	189	198	215	171	4921524J17Rik_ENSMUSG00000036934
0	0	0	0	0	0	0	0	4921524L21Rik_ENSMUSG00000039540
2	2	3	5	8	5	8	2	4921536K21Rik_ENSMUSG00000020434
0	0	0	0	0	0	0	0	4921539E11Rik_ENSMUSG00000028520
0	0	1	0	0	0	0	0	4930402F06Rik_ENSMUSG00000079421
164	159	178	215	619	727	652	620	4930402H24Rik_ENSMUSG00000027309
0	0	0	0	0	0	0	0	4930402K13Rik_ENSMUSG00000045797
4	6	8	3	17	18	8	12	4930404N11Rik_ENSMUSG00000020234
0	0	0	0	0	0	0	0	4930407I10Rik_ENSMUSG00000075524
0	0	0	0	0	0	0	0	4930415L06Rik_ENSMUSG00000035387
2	1	0	1	0	4	1	0	4930415O20Rik_ENSMUSG00000022993
169	142	164	142	79	92	113	90	4930430F08Rik_ENSMUSG00000046567
149	170	153	166	37	55	42	44	4930432K21Rik_ENSMUSG00000008129
0	0	0	0	0	0	0	0	4930432M17Rik_ENSMUSG00000074248
0	0	0	0	0	0	0	0	4930433I11Rik_ENSMUSG00000091692
0	0	0	1	0	0	0	0	4930444G20Rik_ENSMUSG00000069712
1	1	0	0	0	0	0	0	4930444P10Rik_ENSMUSG00000067795
0	0	0	0	0	0	0	0	4930447A16Rik_ENSMUSG00000022288
0	0	0	0	0	0	0	0	4930447C04Rik_ENSMUSG00000021098
0	0	0	0	0	0	0	0	4930449I24Rik_ENSMUSG00000079093
0	0	0	0	1	0	1	0	4930451I11Rik_ENSMUSG00000045989
0	0	0	0	0	0	0	0	4930452B06Rik_ENSMUSG00000021747
493	451	390	430	251	264	289	266	4930453N24Rik_ENSMUSG00000059920
0	0	0	0	0	0	0	0	4930467E23Rik_ENSMUSG00000096265
0	0	0	0	0	0	0	0	4930474N05Rik_ENSMUSG00000096405
0	0	0	0	0	0	0	0	4930480E11Rik_ENSMUSG00000035651
0	0	0	0	0	0	0	0	4930486L24Rik_ENSMUSG00000050345
32	24	28	26	0	0	0	0	4930503B20Rik_ENSMUSG00000090202
31	48	41	34	31	42	50	44	4930503E14Rik_ENSMUSG00000072595
248	239	253	308	167	195	191	140	4930503L19Rik_ENSMUSG00000044906
0	0	0	0	0	0	0	0	4930505A04Rik_ENSMUSG00000040919
0	0	0	0	0	0	0	0	4930512M02Rik_ENSMUSG00000062511
0	0	0	0	0	0	0	0	4930513O06Rik_ENSMUSG00000031270
0	0	0	0	0	0	0	0	4930516K23Rik_ENSMUSG00000090219
0	0	0	0	0	0	0	0	4930519G04Rik_ENSMUSG00000029564
0	0	0	0	0	0	0	0	4930522H14Rik_ENSMUSG00000060491
8	3	3	6	80	74	88	79	4930523C07Rik_ENSMUSG00000090394
0	0	0	0	0	0	0	0	4930524B15Rik_ENSMUSG00000020299
0	0	0	0	0	0	0	0	4930544D05Rik_ENSMUSG00000087279
1	0	0	0	0	0	0	0	4930544G11Rik_ENSMUSG00000036463
1	2	1	4	0	0	2	0	4930548H24Rik_ENSMUSG00000029138
2	2	2	2	13	10	9	14	4930550C14Rik_ENSMUSG00000005131
157	195	143	146	73	82	68	80	4930550L24Rik_ENSMUSG00000046180
0	0	0	0	0	0	0	0	4930555G01Rik_ENSMUSG00000096197
0	0	0	0	0	0	0	0	4930558K02Rik_ENSMUSG00000086277
0	0	0	0	0	0	0	0	4930563M21Rik_ENSMUSG00000050702
0	0	0	0	0	0	0	0	4930564D02Rik_ENSMUSG00000051788
0	0	0	0	0	0	0	0	4930568D16Rik_ENSMUSG00000026882
0	0	0	0	0	0	0	0	4930578I06Rik_ENSMUSG00000021961
0	0	0	0	0	0	0	0	4930579F01Rik_ENSMUSG00000012042
249	253	259	251	49	61	77	57	4930579G24Rik_ENSMUSG00000027811
0	0	0	0	0	0	0	0	4930583I09Rik_ENSMUSG00000024088
0	2	3	1	6	12	2	15	4930590J08Rik_ENSMUSG00000034063
0	0	0	0	0	0	0	0	4930595M18Rik_ENSMUSG00000060673
0	0	0	0	0	0	0	0	4930596D02Rik_ENSMUSG00000041068
0	0	0	0	0	0	0	0	4931406B18Rik_ENSMUSG00000013353
496	477	555	517	735	886	832	745	4931406C07Rik_ENSMUSG00000031938
538	581	636	832	1511	1811	1830	1650	4931406P16Rik_ENSMUSG00000066571
0	0	0	0	0	0	0	0	4931408C20Rik_ENSMUSG00000073722
98	105	119	111	56	45	58	41	4931414P19Rik_ENSMUSG00000022179
0	0	0	0	0	0	0	0	4931417E11Rik_ENSMUSG00000056197
312	268	305	314	176	181	200	179	4931428F04Rik_ENSMUSG00000014837
0	0	0	0	0	0	0	0	4931429L15Rik_ENSMUSG00000056617
0	0	0	0	0	0	0	0	4932411N23Rik_ENSMUSG00000058670
0	0	0	0	0	0	0	0	4932414N04Rik_ENSMUSG00000079324
0	0	0	0	0	0	0	0	4932429P05Rik_ENSMUSG00000079513
825	912	1105	1627	1851	1995	2142	1913	4932438A13Rik_ENSMUSG00000037270
0	0	0	0	0	0	0	0	4932438H23Rik_ENSMUSG00000039851
0	0	0	0	0	0	0	0	4933402D24Rik_ENSMUSG00000025961
0	0	0	0	0	0	0	0	4933402E13Rik_ENSMUSG00000045330
0	0	0	0	0	0	0	0	4933402J07Rik_ENSMUSG00000069971
0	0	0	0	0	0	0	0	4933402N03Rik_ENSMUSG00000013668
0	0	0	0	0	0	0	0	4933402N22Rik_ENSMUSG00000067848
0	0	0	0	0	0	0	0	4933403O08Rik_ENSMUSG00000079460
9	4	4	8	3	0	2	1	4933405L10Rik_ENSMUSG00000013158
0	0	0	0	0	0	0	0	4933405O20Rik_ENSMUSG00000084234
0	0	0	0	0	0	0	0	4933409G03Rik_ENSMUSG00000053896
2	1	2	3	4	9	3	1	4933411K16Rik_ENSMUSG00000090369
0	0	0	0	0	0	0	0	4933412E24Rik_ENSMUSG00000071749
0	0	0	0	0	0	0	0	4933417A18Rik_ENSMUSG00000021415
0	0	0	0	0	0	1	1	4933421I07Rik_ENSMUSG00000030463
4	1	4	6	2	4	3	10	4933427D14Rik_ENSMUSG00000020807
0	0	0	0	3	2	0	0	4933428G20Rik_ENSMUSG00000047988
6	5	6	7	4	3	6	3	4933430I17Rik_ENSMUSG00000058046
1275	1216	1174	1114	1043	1164	1143	1044	4933434E20Rik_ENSMUSG00000027942
0	0	0	0	0	0	0	0	4933436I01Rik_ENSMUSG00000025288
0	0	0	0	0	0	0	0	5031410I06Rik_ENSMUSG00000051940
1255	1240	1252	1289	693	729	763	723	5031439G07Rik_ENSMUSG00000036046
0	0	0	0	0	0	0	0	5330417C22Rik_ENSMUSG00000040412
0	0	0	0	0	0	0	0	5430401F13Rik_ENSMUSG00000094113
0	0	0	0	0	0	0	0	5430402E10Rik_ENSMUSG00000044121
37	27	39	36	2	2	1	0	5430427O19Rik_ENSMUSG00000025058
0	0	0	0	0	0	0	0	5530400C23Rik_ENSMUSG00000055594
0	0	0	0	0	0	0	0	5730409E04Rik_ENSMUSG00000073755
290	319	307	343	336	389	342	346	5730455P16Rik_ENSMUSG00000057181
118	125	123	112	32	24	39	16	5730480H06Rik_ENSMUSG00000029089
0	0	0	0	0	1	0	0	5730507C01Rik_ENSMUSG00000073197
0	0	0	0	0	0	0	0	5830411N06Rik_ENSMUSG00000054672
407	369	420	498	921	958	1022	934	6030458C11Rik_ENSMUSG00000022195
7	8	6	4	42	53	52	33	6030468B19Rik_ENSMUSG00000025573
1	2	3	1	0	0	1	0	6030498E09Rik_ENSMUSG00000051361
0	0	0	0	0	0	0	0	6330409D20Rik_ENSMUSG00000009551
30	26	35	24	16	19	22	26	6430548M08Rik_ENSMUSG00000031824
4	9	5	5	18	16	13	12	6430550D23Rik_ENSMUSG00000074646
12	16	17	18	17	24	16	31	6430571L13Rik_ENSMUSG00000037977
58	89	71	66	14	25	21	10	6720489N17Rik_ENSMUSG00000072066
5	5	3	5	26	39	30	23	6820408C15Rik_ENSMUSG00000032680
0	0	0	0	0	0	0	0	7420426K07Rik_ENSMUSG00000074123
0	0	0	0	0	0	0	0	7530416G11Rik_ENSMUSG00000096607
466	474	552	641	626	743	724	654	8030462N17Rik_ENSMUSG00000047466
33	29	32	24	43	48	49	51	9030025P20Rik_ENSMUSG00000116953
0	0	0	0	0	0	0	0	9030624G23Rik_ENSMUSG00000073158
27	31	36	40	85	90	83	80	9130008F23Rik_ENSMUSG00000054951
23	18	28	28	25	32	31	33	9130019O22Rik_ENSMUSG00000030823
25	31	25	41	22	22	34	28	9130023H24Rik_ENSMUSG00000062944
1220	1181	1068	1067	138	146	156	137	9130401M01Rik_ENSMUSG00000101892
0	1	0	0	0	0	0	0	9130409I23Rik_ENSMUSG00000038768
0	0	0	0	0	0	0	0	9230112D13Rik_ENSMUSG00000021797
0	0	0	0	0	0	0	0	9330159F19Rik_ENSMUSG00000004360
1	0	0	0	0	0	0	0	9330182L06Rik_ENSMUSG00000056004
0	0	0	1	0	0	0	0	9330182O14Rik_ENSMUSG00000094112
628	625	637	716	568	616	585	604	9430015G10Rik_ENSMUSG00000059939
201	184	183	176	36	33	41	28	9430038I01Rik_ENSMUSG00000040139
0	0	0	0	0	0	0	0	9430069I07Rik_ENSMUSG00000094447
0	0	0	0	0	0	0	0	9530002B09Rik_ENSMUSG00000023263
0	0	0	0	0	0	0	0	9530003J23Rik_ENSMUSG00000020177
0	0	0	0	0	0	0	0	9530053A07Rik_ENSMUSG00000078776
1333	1358	1339	1308	991	1059	1113	1009	9530068E07Rik_ENSMUSG00000036275
75	57	63	60	57	55	60	51	9530077C05Rik_ENSMUSG00000036411
0	0	0	0	0	0	0	0	9830107B12Rik_ENSMUSG00000073386
40	43	48	50	47	37	45	48	9930012K11Rik_ENSMUSG00000044551
0	0	0	0	0	0	0	0	9930111J21Rik1_ENSMUSG00000069893
0	0	0	0	0	0	0	0	9930111J21Rik2_ENSMUSG00000069892
127	120	125	155	62	81	86	67	A130010J15Rik_ENSMUSG00000079144
0	0	0	0	0	0	0	0	A1bg_ENSMUSG00000022347
0	0	0	0	0	0	0	0	A1cf_ENSMUSG00000052595
0	0	0	0	0	0	0	0	A26c3_ENSMUSG00000027157
0	0	0	0	0	0	0	0	A2m_ENSMUSG00000030111
0	0	0	0	0	0	0	0	A2ml1_ENSMUSG00000047228
0	0	0	0	0	0	0	0	A330070K13Rik_ENSMUSG00000052014
1	2	2	4	3	1	6	5	A3galt2_ENSMUSG00000028794
728	592	625	529	235	284	253	237	A430005L14Rik_ENSMUSG00000047613
0	0	0	0	0	0	0	0	A430089I19Rik_ENSMUSG00000094560
0	0	0	0	0	0	0	0	A4galt_ENSMUSG00000047878
0	0	0	0	0	0	1	0	A4gnt_ENSMUSG00000037953
0	0	0	0	0	0	0	0	A530016L24Rik_ENSMUSG00000043122
0	0	0	1	0	3	1	0	A530032D15Rik_ENSMUSG00000089844
0	0	0	0	1	0	1	0	A530064D06Rik_ENSMUSG00000043939
226	241	227	227	124	174	145	146	A630001G21Rik_ENSMUSG00000052760
0	0	0	0	0	0	0	0	A630023A22Rik_ENSMUSG00000095493
0	0	0	0	0	0	0	0	A630073D07Rik_ENSMUSG00000067541
0	0	0	0	0	0	0	0	A630076J17Rik_ENSMUSG00000094613
8	3	5	2	1	0	3	2	A630095N17Rik_ENSMUSG00000096094
0	0	0	0	0	0	0	0	A830018L16Rik_ENSMUSG00000057715
91	91	90	84	77	78	102	107	A930009A15Rik_ENSMUSG00000092210
0	1	0	0	0	0	0	0	A930018P22Rik_ENSMUSG00000032671
1	0	0	0	0	1	0	0	AA467197_ENSMUSG00000033213
0	0	0	0	0	0	0	0	AA792892_ENSMUSG00000073497
9	8	14	8	27	41	36	26	AA986860_ENSMUSG00000042510
1	0	0	1	7	12	10	9	AAdacl4fm3_ENSMUSG00000041735
